name,category,dueDate,userPriority,estimatedTime,completed,description
Clean Room,Chores,2024-05-25T12:00:00,4,60,false,Vacuum and dust
Math Homework,School,2024-05-25T23:59:00,8,30,false,Chapter 5
History Essay,School,2024-05-24T23:59:00,7,60,false,Drafting
Read Book,Personal,2024-05-23T23:59:00,5,20,false,Read 1 chapter
Science Project,School,2024-05-22T17:00:00,9,120,false,Build volcano
Pay Bills,Chores,2024-05-22T20:00:00,8,15,false,Pay electricity and internet
Spanish Worksheet,School,2024-05-21T23:59:00,6,45,false,Vocab practice
Grocery Shopping,Chores,2024-05-20T18:00:00,5,60,false,Buy weekly groceries
Sunday Prep,Personal,2024-05-19T20:00:00,5,45,false,Prepare for the week
Call Grandparents,Personal,2024-05-24T18:00:00,6,30,false,Weekly catch up
